Census Tract,Attendance Area,CTIP,CTIP,Population (5-9),Total population,Hispanic or Latino,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Estimated Kindergarten Fraction,Kindergartners,Hispanic or Latino,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
Census Tract 101,Garfield 0.5/Yick Wo 0.5,2,,110,3739,286,3601,1858,256,7,1345,23,112,138,0.005883926183,22,1.682802888,21.18801819,10.93233485,1.506285103,0.04118748328,7.913880717,0.1353303022,0.6589997325,0.8119818133
Census Tract 102,Yick Wo,2,,68,4143,211,4005,3518,28,6,419,6,28,138,0.003282645426,13.6,0.6926381849,13.14699493,11.54834661,0.09191407193,0.01969587256,1.375428434,0.01969587256,0.09191407193,0.4530050688
Census Tract 103,Yick Wo,2,,75,3852,198,3739,2460,36,5,1176,4,58,113,0.003894080997,15,0.7710280374,14.55996885,9.579439252,0.1401869159,0.01947040498,4.579439252,0.01557632399,0.2258566978,0.4400311526
Census Tract 104,Chin 0.5 / Garfield 0.5,2,,98,4545,239,4396,3014,46,4,1270,7,55,149,0.004312431243,19.6,1.030671067,18.95744774,12.99766777,0.1983718372,0.01724972497,5.476787679,0.0301870187,0.2371837184,0.6425522552
Census Tract 105,Chin,2,,45,2685,155,2625,1756,46,3,778,2,40,60,0.003351955307,9,0.5195530726,8.798882682,5.88603352,0.1541899441,0.01005586592,2.607821229,0.006703910615,0.1340782123,0.2011173184
Census Tract 106,Chin,2,,97,3894,254,3775,1437,59,6,2169,1,103,119,0.004982023626,19.4,1.265434001,18.80713919,7.159167951,0.2939393939,0.02989214176,10.80600924,0.004982023626,0.5131484335,0.5928608115
Census Tract 107,Parker,2,,160,5592,167,5500,908,85,12,4440,2,53,92,0.005722460658,32,0.9556509299,31.47353362,5.195994278,0.4864091559,0.0686695279,25.40772532,0.01144492132,0.3032904149,0.5264663805
Census Tract 108,Spring Valley,2,,102,4578,166,4463,2240,43,5,2131,2,42,115,0.004456094364,20.4,0.7397116645,19.88754915,9.981651376,0.1916120577,0.02228047182,9.49593709,0.008912188729,0.1871559633,0.5124508519
Census Tract 109,Yick Wo,2,,43,4320,266,4184,3096,41,6,966,1,74,136,0.001990740741,8.6,0.529537037,8.329259259,6.163333333,0.08162037037,0.01194444444,1.923055556,0.001990740741,0.1473148148,0.2707407407
Census Tract 110,Spring Valley,2,,69,4827,226,4673,2259,78,6,2252,4,74,154,0.002858918583,13.8,0.6461155998,13.35972654,6.458297079,0.2229956495,0.0171535115,6.438284649,0.01143567433,0.2115599751,0.4402734618
Census Tract 111,Redding 0.5/Spring Valley 0.5,2,,59,5164,500,4967,2721,133,18,1928,10,157,197,0.002285050349,11.8,1.142525174,11.34984508,6.217621998,0.3039116964,0.04113090627,4.405577072,0.02285050349,0.3587529047,0.4501549187
Census Tract 112,Lau 0.5/Spring Valley 0.5,2,,54,3286,188,3202,1929,52,3,1150,6,62,84,0.003286670724,10.8,0.6178940962,10.52391966,6.339987827,0.1709068777,0.009860012173,3.779671333,0.01972002435,0.2037735849,0.2760803408
Census Tract 113,Parker 0.5,2,,85,3143,74,3099,529,25,0,2514,2,29,44,0.005408845052,17,0.4002545339,16.76201082,2.861279033,0.1352211263,0,13.59783646,0.0108176901,0.1568565065,0.2379891823
Census Tract 117,Chin 0.7/Lau 0.3,2,,31,1783,171,1724,691,111,11,834,3,74,59,0.003477285474,6.2,0.594615816,5.994840157,2.402804262,0.3859786876,0.03825014021,2.900056085,0.01043185642,0.2573191251,0.205159843
Census Tract 118,Lau,2,,46,1500,38,1481,124,12,1,1327,0,17,19,0.006133333333,9.2,0.2330666667,9.083466667,0.7605333333,0.0736,0.006133333333,8.138933333,0,0.1042666667,0.1165333333
Census Tract 119.01,Redding,2,,15,2408,220,2292,1481,95,16,634,7,59,116,0.001245847176,3,0.2740863787,2.855481728,1.845099668,0.1183554817,0.01993355482,0.7898671096,0.008720930233,0.07350498339,0.1445182724
Census Tract 119.02,Lau,2,,39,2598,317,2485,1590,58,10,708,13,106,113,0.003002309469,7.8,0.9517321016,7.46073903,4.773672055,0.1741339492,0.03002309469,2.125635104,0.03903002309,0.3182448037,0.33926097
Census Tract 120,Redding,2,,53,3833,578,3584,1992,175,29,1108,8,272,249,0.002765457866,10.6,1.598434646,9.911400991,5.508792069,0.4839551265,0.08019827811,3.064127315,0.02212366293,0.7522045395,0.6885990086
Census Tract 121,Lau,2,,32,3833,497,3609,2171,190,42,1018,4,184,224,0.00166971041,6.4,0.8298460736,6.025984868,3.624941299,0.3172449778,0.0701278372,1.699765197,0.006678841638,0.3072267154,0.3740151318
Census Tract 122.01,Lau 0.5/Tenderloin 0.5,1,1,114,4567,1276,4290,2190,259,41,1169,10,621,277,0.004992336326,22.8,6.370221152,21.41712284,10.93321655,1.293015108,0.2046857894,5.836041165,0.04992336326,3.100240858,1.382877162
Census Tract 122.02,Tenderloin,2,,48,2986,550,2810,1306,394,33,840,10,227,176,0.003215003349,9.6,1.768251842,9.034159411,4.198794374,1.266711319,0.1060951105,2.700602813,0.03215003349,0.7298057602,0.5658405894
Census Tract 123.01,Redding,2,,57,2734,600,2611,1113,334,25,852,2,285,123,0.004169714704,11.4,2.501828822,10.88712509,4.640892465,1.392684711,0.1042428676,3.552596928,0.008339429407,1.188368691,0.5128749086
Census Tract 123.02,Redding,2,,22,3073,372,2928,1501,249,27,1007,10,134,145,0.001431825578,4.4,0.5326391149,4.192385291,2.149170192,0.3565245688,0.0386592906,1.441848357,0.01431825578,0.1918646274,0.2076147088
Census Tract 124.01,Tenderloin,1,1,180,5075,1852,4839,1830,529,62,1279,20,1119,236,0.007093596059,36,13.1373399,34.32591133,12.98128079,3.752512315,0.4398029557,9.07270936,0.1418719212,7.93773399,1.67408867
Census Tract 124.02,Tenderloin,2,,87,3974,777,3762,2031,424,40,907,9,351,212,0.00437845999,17.4,3.402063412,16.47176648,8.89265224,1.856467036,0.1751383996,3.971263211,0.03940613991,1.536839456,0.9282335179
Census Tract 125.01,Tenderloin,2,,166,5335,1022,5079,2233,923,75,1297,47,504,256,0.006223055295,33.2,6.359962512,31.60689784,13.89608247,5.743880037,0.4667291471,8.071302718,0.2924835989,3.136419869,1.593102156
Census Tract 125.02,Tenderloin,2,,64,3821,806,3638,1028,564,44,1551,31,420,183,0.003349908401,12.8,2.700026171,12.18696676,3.443705836,1.889348338,0.1473959696,5.19570793,0.1038471604,1.406961528,0.6130332374
Census Tract 126.01,Sherman,2,,38,2329,126,2254,1976,15,5,229,2,27,75,0.003263203091,7.6,0.4111635895,7.355259768,6.448089309,0.04894804637,0.01631601546,0.7472735079,0.006526406183,0.08810648347,0.2447402319
Census Tract 126.02,Sherman,2,,93,2909,134,2839,2500,19,1,293,2,24,70,0.006393949811,18.6,0.8567892747,18.15242351,15.98487453,0.1214850464,0.006393949811,1.873427295,0.01278789962,0.1534547955,0.4475764868
Census Tract 127,Cobb,2,,115,3492,189,3387,2980,15,4,340,6,42,105,0.006586483391,23,1.244845361,22.30841924,19.6277205,0.09879725086,0.02634593356,2.239404353,0.03951890034,0.2766323024,0.691580756
Census Tract 128,Cobb,2,,121,4106,197,3990,3533,35,3,374,3,42,116,0.005893813931,24.2,1.161081344,23.51631758,20.82284462,0.2062834876,0.01768144179,2.20428641,0.01768144179,0.2475401851,0.683682416
Census Tract 129.01,Sherman,2,,20,2557,159,2479,2084,25,6,343,3,18,78,0.001564333203,4,0.2487289793,3.87798201,3.260070395,0.03910833007,0.009385999218,0.5365662886,0.004692999609,0.02815799765,0.1220179898
Census Tract 129.02,Sherman,2,,54,3376,235,3236,2684,36,5,446,4,61,140,0.003199052133,10.8,0.7517772512,10.3521327,8.586255924,0.1151658768,0.01599526066,1.426777251,0.01279620853,0.1951421801,0.4478672986
Census Tract 130,Sherman,2,,76,4044,227,3932,3436,25,7,417,2,45,112,0.003758654797,15.2,0.853214639,14.77903066,12.91473788,0.09396636993,0.02631058358,1.56735905,0.007517309594,0.1691394659,0.4209693373
Census Tract 131.01,Sherman,2,,44,3811,254,3658,2926,71,7,593,7,54,153,0.002309105222,8.8,0.5865127263,8.446706901,6.756441879,0.1639464707,0.01616373655,1.369299396,0.01616373655,0.124691682,0.3532930989
Census Tract 131.02,Sherman,2,,35,2625,134,2514,2103,33,5,342,2,29,111,0.002666666667,7,0.3573333333,6.704,5.608,0.088,0.01333333333,0.912,0.005333333333,0.07733333333,0.296
Census Tract 132,Cobb,2,,164,4162,159,4033,3493,47,2,445,4,42,129,0.007880826526,32.8,1.253051418,31.78337338,27.52772705,0.3703988467,0.01576165305,3.506967804,0.0315233061,0.3309947141,1.016626622
Census Tract 133,Sutro,2,,231,4232,194,4106,3571,55,9,439,2,30,126,0.0109168242,46.2,2.117863894,44.82448015,38.98397921,0.6004253308,0.09825141777,4.792485822,0.02183364839,0.3275047259,1.375519849
Census Tract 134,Cobb,2,,115,3599,182,3464,2989,56,3,368,8,40,135,0.006390664073,23,1.163100861,22.13726035,19.10169492,0.3578771881,0.01917199222,2.351764379,0.05112531259,0.2556265629,0.8627396499
Census Tract 135,Sherman,2,,64,2556,163,2463,2001,66,5,360,2,29,93,0.005007824726,12.8,0.8162754304,12.3342723,10.02065728,0.3305164319,0.02503912363,1.802816901,0.01001564945,0.1452269171,0.4657276995
Census Tract 151,Sherman,2,,16,2493,150,2387,1615,69,7,655,5,36,106,0.001283594063,3.2,0.1925391095,3.063939029,2.073004412,0.08856799037,0.008985158444,0.8407541115,0.006417970317,0.04620938628,0.1360609707
Census Tract 152,Sherman,2,,73,3934,262,3764,2535,143,11,993,7,75,170,0.003711235384,14.6,0.9723436706,13.96908998,9.407981698,0.5307066599,0.04082358922,3.685256736,0.02597864769,0.2783426538,0.6309100153
Census Tract 153,Cobb,2,,46,2040,144,1959,1460,136,15,318,1,29,81,0.004509803922,9.2,0.6494117647,8.834705882,6.584313725,0.6133333333,0.06764705882,1.434117647,0.004509803922,0.1307843137,0.3652941176
Census Tract 154,Peabody,2,,194,5621,365,5399,3838,167,8,1257,14,115,222,0.006902686355,38.8,2.519480519,37.26760363,26.49251023,1.152748621,0.05522149084,8.676676748,0.09663760897,0.7938089308,1.532396371
Census Tract 155,Sherman 0.5/Cobb 0.5,2,,67,3622,347,3463,1725,352,13,1151,14,208,159,0.003699613473,13.4,1.283765875,12.81176146,6.381833241,1.302263943,0.04809497515,4.258255108,0.05179458863,0.7695196024,0.5882385422
Census Tract 156,New Traditions,2,,85,2728,193,2564,1597,64,6,819,5,73,164,0.006231671554,17,1.20271261,15.97800587,9.951979472,0.3988269795,0.03739002933,5.103739003,0.03115835777,0.4549120235,1.021994135
Census Tract 157,New Traditions,2,,143,7832,821,7353,4609,398,21,2062,21,242,479,0.003651685393,28.6,2.998033708,26.8508427,16.83061798,1.453370787,0.07668539326,7.529775281,0.07668539326,0.8837078652,1.749157303
Census Tract 158.01,New Traditions 0.5/Parks 0.5,2,,164,3594,399,3408,1537,1033,14,654,10,160,186,0.009126321647,32.8,3.641402337,31.10250417,14.02715637,9.427490262,0.1277685031,5.968614357,0.09126321647,1.460211464,1.697495826
Census Tract 158.02,Muir 0.4/New Traditions 0.6,1,1,48,2965,301,2803,2077,354,10,255,10,97,162,0.00323777403,9.6,0.9745699831,9.075480607,6.724856661,1.146172007,0.0323777403,0.8256323777,0.0323777403,0.3140640809,0.5245193929
Census Tract 159,Parks,2,,77,4350,354,4147,1767,573,6,1652,8,141,203,0.003540229885,15.4,1.253241379,14.68133333,6.255586207,2.028551724,0.02124137931,5.84845977,0.02832183908,0.4991724138,0.7186666667
Census Tract 160,Parks,2,,21,2465,238,2358,1346,122,8,787,4,91,107,0.001703853955,4.2,0.4055172414,4.017687627,2.293387424,0.2078701826,0.01363083164,1.340933063,0.006815415822,0.1550507099,0.1823123732
Census Tract 161,Parks,1,1,224,5366,522,5102,1640,2047,14,1188,30,183,264,0.008348863213,44.8,4.358106597,42.59590011,13.69213567,17.090123,0.116884085,9.918449497,0.2504658964,1.527841968,2.204099888
Census Tract 162,Muir,2,,43,2541,338,2424,1701,180,16,391,7,129,117,0.003384494294,8.6,1.143959071,8.204014168,5.757024793,0.6092089728,0.0541519087,1.323337269,0.02369146006,0.4365997639,0.3959858323
Census Tract 163,Muir,1,1,102,4293,550,4069,2428,826,23,574,8,210,224,0.004751921733,20.4,2.613556953,19.33556953,11.53766597,3.925087352,0.1092941999,2.727603075,0.03801537386,0.9979035639,1.064430468
Census Tract 164,Muir 0.5/New Traditions 0.5,2,,49,3778,480,3555,2565,370,19,373,8,220,223,0.002593965061,9.8,1.245103229,9.221545791,6.653520381,0.9597670725,0.04928533616,0.9675489677,0.02075172049,0.5706723134,0.5784542086
Census Tract 165,New Traditions,2,,136,5083,462,4797,3632,359,21,637,4,144,286,0.005351170569,27.2,2.472240803,25.66956522,19.43545151,1.921070234,0.1123745819,3.408695652,0.02140468227,0.7705685619,1.530434783
Census Tract 166,Grattan 0.75/McKinley 0.25,2,,78,5069,445,4782,3971,210,22,473,8,98,287,0.003077530085,15.6,1.369500888,14.71674887,12.22087197,0.6462813178,0.06770566187,1.45567173,0.02462024068,0.3015979483,0.8832511343
Census Tract 167,McKinley,2,,87,4652,464,4389,3544,265,25,426,12,117,263,0.003740326741,17.4,1.735511608,16.41629407,13.25571797,0.9911865864,0.09350816853,1.593379192,0.04488392089,0.4376182287,0.9837059329
Census Tract 168.01,Muir,1,1,61,3218,390,3040,2327,269,13,315,4,112,178,0.003791174643,12.2,1.478558111,11.52517091,8.822063393,1.019825979,0.04928527035,1.194220012,0.01516469857,0.42461156,0.6748290864
Census Tract 168.02,Muir,2,,70,3264,424,3093,2116,375,32,392,5,173,171,0.004289215686,14,1.818627451,13.26654412,9.075980392,1.608455882,0.137254902,1.681372549,0.02144607843,0.7420343137,0.7334558824
Census Tract 169,McKinley,2,,54,2924,289,2766,2266,97,20,295,2,86,158,0.003693570451,10.8,1.06744186,10.21641587,8.369630643,0.3582763338,0.07387140903,1.089603283,0.007387140903,0.3176470588,0.5835841313
Census Tract 170,McKinley,2,,69,3689,285,3557,3110,52,6,317,5,67,132,0.003740851179,13.8,1.066142586,13.30620764,11.63404717,0.1945242613,0.02244510708,1.185849824,0.0187042559,0.250637029,0.4937923557
Census Tract 171.01,Grattan,2,,144,3544,269,3389,2952,133,17,232,4,51,155,0.008126410835,28.8,2.186004515,27.54040632,23.98916479,1.080812641,0.1381489842,1.885327314,0.03250564334,0.4144469526,1.259593679
Census Tract 171.02,Grattan,2,,112,3451,243,3278,2753,129,12,319,3,62,173,0.006490872211,22.4,1.577281947,21.27707911,17.8693712,0.8373225152,0.07789046653,2.070588235,0.01947261663,0.4024340771,1.122920892
Census Tract 176.01,Webster,2,,202,7630,1041,7192,2790,1021,105,2777,32,467,438,0.005294888598,40.4,5.51197903,38.08083879,14.77273919,5.406081258,0.5559633028,14.70390564,0.1694364351,2.472712975,2.319161206
Census Tract 177,Moscone 0.5/Sanchez 0.5,1,1,56,2128,724,2013,1183,108,27,299,11,385,115,0.005263157895,11.2,3.810526316,10.59473684,6.226315789,0.5684210526,0.1421052632,1.573684211,0.05789473684,2.026315789,0.6052631579
Census Tract 178.01,Webster,2,,17,3499,139,3407,986,114,4,2268,2,33,92,0.0009717062018,3.4,0.135067162,3.310603029,0.9581023149,0.110774507,0.003886824807,2.203829666,0.001943412404,0.03206630466,0.08939697056
Census Tract 178.02,Webster,2,,80,4516,646,4292,2384,495,38,1064,10,301,224,0.00354295837,16,2.288751107,15.20637733,8.446412755,1.753764393,0.1346324181,3.769707706,0.0354295837,1.066430469,0.7936226749
Census Tract 179.02,Sherman 0.5/Chin 0.5,1,1,147,2880,663,2585,1011,724,37,525,28,260,295,0.01020833333,29.4,6.768125,26.38854167,10.320625,7.390833333,0.3777083333,5.359375,0.2858333333,2.654166667,3.011458333
Census Tract 180,Webster,2,,40,4221,602,4009,2104,895,50,720,18,222,212,0.001895285477,8,1.140961857,7.598199479,3.987680644,1.696280502,0.09476427387,1.364605544,0.03411513859,0.420753376,0.4018005212
Census Tract 201,Moscone 0.3/Sanchez 0.7,1,1,131,6172,2656,5712,3105,384,225,945,24,1029,460,0.004244977317,26.2,11.27465975,24.24731043,13.18065457,1.63007129,0.9551198963,4.011503564,0.1018794556,4.368081659,1.952689566
Census Tract 202,Sanchez,2,,170,6269,1577,5959,3847,417,76,1000,24,595,310,0.005423512522,34,8.552879247,32.31871112,20.86425267,2.261604722,0.4121869517,5.423512522,0.1301643005,3.226989951,1.681288882
Census Tract 203,Sanchez,2,,42,3034,465,2880,2208,77,20,368,5,202,154,0.002768622281,8.4,1.287409361,7.973632169,6.113117996,0.2131839156,0.05537244562,1.018852999,0.0138431114,0.5592617007,0.4263678312
Census Tract 204.01,Milk,2,,42,2846,211,2740,2285,59,9,320,2,65,106,0.002951510892,8.4,0.6227687983,8.087139845,6.744202389,0.1741391427,0.02656359803,0.9444834856,0.005903021785,0.191848208,0.3128601546
Census Tract 204.02,Clarendon,2,,69,3997,449,3804,2901,119,18,607,13,146,193,0.003452589442,13.8,1.550212659,13.13365024,10.01596197,0.4108581436,0.06214660996,2.095721791,0.04488366275,0.5040780585,0.6663497623
Census Tract 205,Milk,2,,58,2583,192,2479,2116,45,17,237,3,61,104,0.004490902052,11.6,0.862253194,11.13294619,9.502748742,0.2020905923,0.07634533488,1.064343786,0.01347270616,0.2739450252,0.4670538134
Census Tract 206,Milk,2,,116,4711,460,4513,3810,104,17,418,11,153,198,0.004924644449,23.2,2.265336447,22.2249204,18.76289535,0.5121630227,0.08371895564,2.05850138,0.05417108894,0.7534706007,0.9750796009
Census Tract 207,Milk 0.5,2,,123,5171,939,4888,3803,105,24,568,5,383,283,0.004757300329,24.6,4.467105009,23.25368401,18.09201315,0.4995165345,0.1141752079,2.702146587,0.02378650164,1.822046026,1.346315993
Census Tract 208,Moscone,1,1,181,6577,3346,6170,3371,180,118,889,8,1604,407,0.005504029193,36.2,18.41648168,33.95986012,18.55408241,0.9907252547,0.6494754447,4.893081952,0.04403223354,8.828462825,2.240139881
Census Tract 209,Chavez,1,1,143,4372,2187,4096,2427,92,47,520,8,1002,276,0.006541628545,28.6,14.30654163,26.79451052,15.87653248,0.6018298262,0.3074565416,3.401646844,0.05233302836,6.554711802,1.805489478
Census Tract 210,Chavez,2,,98,4196,914,3934,3004,92,17,425,5,391,262,0.004671115348,19.6,4.269399428,18.37616778,14.03203051,0.429742612,0.07940896092,1.985224023,0.02335557674,1.826406101,1.223832221
Census Tract 211,Alvarado,2,,137,3853,350,3639,3102,46,11,384,4,92,214,0.007111341812,27.4,2.488969634,25.87817285,22.0593823,0.3271217233,0.07822475993,2.730755256,0.02844536725,0.6542434467,1.521827148
Census Tract 212,Alvarado,2,,109,2779,218,2641,2303,31,12,257,4,34,138,0.007844548399,21.8,1.710111551,20.71745232,18.06599496,0.2431810004,0.09413458078,2.016048938,0.03137819359,0.2667146456,1.082547679
Census Tract 213,Alvarado,2,,101,2474,196,2338,1987,21,20,247,1,62,136,0.008164915117,20.2,1.600323363,19.08957154,16.22368634,0.1714632175,0.1632983023,2.016734034,0.008164915117,0.5062247373,1.110428456
Census Tract 214,Alvarado,2,,116,3264,393,3086,2567,44,12,352,2,109,178,0.007107843137,23.2,2.793382353,21.93480392,18.24583333,0.312745098,0.08529411765,2.501960784,0.01421568627,0.774754902,1.265196078
Census Tract 215,Alvarado,2,,181,5096,978,4833,3917,72,31,535,5,273,263,0.007103610675,36.2,6.94733124,34.33175039,27.82484301,0.5114599686,0.2202119309,3.800431711,0.03551805338,1.939285714,1.868249608
Census Tract 216,Alvarado,2,,126,3836,374,3614,2497,216,12,744,25,120,222,0.006569343066,25.2,2.456934307,23.74160584,16.40364964,1.418978102,0.07883211679,4.887591241,0.1642335766,0.7883211679,1.458394161
Census Tract 217,Glen Park 0.5/Miraloma 0.5,2,,183,3948,509,3711,2441,390,20,727,8,125,237,0.009270516717,36.6,4.718693009,34.40288754,22.62933131,3.61550152,0.1854103343,6.739665653,0.07416413374,1.15881459,2.197112462
Census Tract 218,Glen Park,2,,157,3840,553,3607,2987,69,16,390,1,144,233,0.008177083333,31.4,4.521927083,29.49473958,24.42494792,0.56421875,0.1308333333,3.1890625,0.008177083333,1.1775,1.905260417
Census Tract 226,Jefferson,2,,28,1534,132,1472,1144,64,7,208,14,35,62,0.003650586701,5.6,0.4818774446,5.373663625,4.176271186,0.2336375489,0.02555410691,0.7593220339,0.05110821382,0.1277705346,0.2263363755
Census Tract 227.02,Webster,2,,52,2060,254,1954,1598,51,2,236,0,67,106,0.005048543689,10.4,1.282330097,9.864854369,8.067572816,0.2574757282,0.01009708738,1.191456311,0,0.3382524272,0.5351456311
Census Tract 227.03,King 0.5,1,1,80,3122,249,2947,2407,43,12,420,2,63,175,0.005124919923,16,1.276105061,15.10313901,12.33568225,0.2203715567,0.06149903908,2.152466368,0.01024983985,0.3228699552,0.8968609865
Census Tract 228.01,Moscone,1,1,202,5078,2143,4724,2810,159,28,619,9,1099,354,0.007955888145,40.4,17.04946829,37.5836156,22.35604569,1.264986215,0.2227648681,4.924694762,0.0716029933,8.743521071,2.816384403
Census Tract 228.02,Bryant 0.5/Moscone 0.5,1,1,66,2099,662,1953,1087,123,30,400,10,303,146,0.006288708909,13.2,4.163125298,12.2818485,6.835826584,0.7735111958,0.1886612673,2.515483564,0.06288708909,1.905478799,0.9181515007
Census Tract 228.03,Bryant 0.3 /Chavez 0.3/ Moscone 0.3,1,1,194,4595,2425,4325,2626,72,44,465,11,1107,270,0.008443960827,38.8,20.47660501,36.52013058,22.17384113,0.6079651795,0.3715342764,3.926441785,0.0928835691,9.347464635,2.279869423
Census Tract 229.01,Chavez,1,1,243,4640,2789,4324,2193,246,56,362,32,1435,316,0.01047413793,48.6,29.21237069,45.29017241,22.96978448,2.576637931,0.5865517241,3.791637931,0.3351724138,15.03038793,3.309827586
