Census Tract,Attendance Area,CTIP,CTIP,Population (5-9),Total population,Hispanic or Latino,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Estimated Kindergarten Fraction,Kindergartners,Hispanic or Latino,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
Census Tract 229.02,Bryant 0.75/ Chavez 0.25,1,1,114,2617,1402,2464,1471,68,45,255,14,611,153,0.008712265953,22.8,12.21459687,21.46702331,12.81574322,0.5924340848,0.3920519679,2.221627818,0.1219717233,5.323194498,1.332976691
Census Tract 229.03,Bryant,2,,113,3384,1711,3124,1687,69,29,473,3,863,260,0.006678486998,22.6,11.42689125,20.86359338,11.26660757,0.4608156028,0.1936761229,3.15892435,0.02003546099,5.763534279,1.736406619
Census Tract 230.01,Drew,1,1,226,5216,785,5064,543,756,17,3317,24,407,152,0.008665644172,45.2,6.802530675,43.88282209,4.705444785,6.551226994,0.1473159509,28.74394172,0.2079754601,3.526917178,1.317177914
Census Tract 230.03,Drew,1,1,215,4093,962,3938,514,1039,37,1729,14,605,155,0.01050574151,43,10.10652333,41.37161007,5.399951136,10.91546543,0.3887124359,18.16442707,0.1470803811,6.355973613,1.628389934
Census Tract 231.02,Malcolm X 0.75/Carver 0.25,1,1,246,3478,565,3308,303,2172,23,456,27,327,170,0.01414606095,49.2,7.992524439,46.79516964,4.286256469,30.72524439,0.325359402,6.450603795,0.3819436458,4.625761932,2.404830362
Census Tract 231.03,Malcolm X,1,1,399,3725,604,3428,263,2128,24,156,546,311,297,0.02142281879,79.8,12.93938255,73.43742282,5.634201342,45.58775839,0.514147651,3.341959732,11.69685906,6.662496644,6.362577181
Census Tract 232,Carver,1,1,293,4582,1780,4293,616,1832,46,628,58,1113,289,0.01278917503,58.6,22.76473156,54.90392842,7.87813182,23.42976866,0.5883020515,8.031601921,0.7417721519,14.23435181,3.696071584
Census Tract 233,Drew,2,,155,2624,552,2530,219,293,21,1672,10,315,94,0.01181402439,31,6.521341463,29.88948171,2.587271341,3.461509146,0.2480945122,19.75304878,0.1181402439,3.721417683,1.110518293
Census Tract 234,Harte,1,1,286,3660,1225,3402,352,1239,14,739,190,868,258,0.0156284153,57.2,19.14480874,53.16786885,5.501202186,19.36360656,0.2187978142,11.54939891,2.969398907,13.56546448,4.032131148
Census Tract 251,Flynn,2,,131,3077,719,2866,2015,158,10,417,4,262,211,0.00851478713,26.2,6.122131947,24.40337992,17.15729607,1.345336367,0.0851478713,3.550666233,0.03405914852,2.230874228,1.796620084
Census Tract 252,Flynn 0.5/Serra 0.5,2,,196,5369,1480,5058,3610,222,81,548,13,584,311,0.007301173403,39.2,10.80573664,36.92933507,26.35723598,1.620860495,0.5913950456,4.001043025,0.09491525424,4.263885267,2.270664928
Census Tract 253,Flynn 0.5/Serra 0.5,2,,180,4362,1248,4107,2965,116,40,497,18,471,255,0.008253094911,36,10.29986245,33.8954608,24.47042641,0.9573590096,0.3301237964,4.101788171,0.1485557084,3.887207703,2.104539202
Census Tract 254.01,Serra,2,,182,3404,1278,3130,1942,173,16,437,24,538,274,0.010693302,36.4,13.66603995,33.47003525,20.76639248,1.849941246,0.171092832,4.672972973,0.2566392479,5.752996475,2.929964747
Census Tract 254.02,Flynn 0.7/Serra 0.3,2,,123,2912,823,2706,1472,172,27,688,17,330,206,0.008447802198,24.6,6.952541209,22.85975275,12.43516484,1.453021978,0.2280906593,5.812087912,0.1436126374,2.787774725,1.740247253
Census Tract 254.03,Serra,2,,251,4267,1594,3986,1837,328,31,1094,33,663,281,0.01176470588,50.2,18.75294118,46.89411765,21.61176471,3.858823529,0.3647058824,12.87058824,0.3882352941,7.8,3.305882353
Census Tract 255,Monroe,2,,421,8471,2695,8050,3129,134,43,3730,20,994,421,0.009939794593,84.2,26.78774643,80.01534648,31.10161728,1.331932476,0.4274111675,37.07543383,0.1987958919,9.880155826,4.184653524
Census Tract 256,Hillcrest,2,,269,5618,1572,5351,1253,147,46,3030,19,856,267,0.009576361695,53.8,15.05404058,51.24311143,11.9991812,1.407725169,0.4405126379,29.01637593,0.1819508722,8.197365611,2.556888572
Census Tract 257.01,Hillcrest 0.5/Taylor 0.5,2,,253,4788,1073,4649,1021,171,14,2889,34,520,139,0.01056808688,50.6,11.33955723,49.13103592,10.79001671,1.807142857,0.1479532164,30.53120301,0.3593149541,5.49540518,1.468964077
Census Tract 257.02,Taylor,2,,256,4665,1145,4536,846,107,17,2911,13,642,129,0.01097534834,51.2,12.56677385,49.78418006,9.285144695,1.174362272,0.1865809218,31.94923901,0.1426795284,7.046173633,1.415819936
Census Tract 258,Taylor,2,,105,1960,427,1883,358,160,7,1114,3,241,77,0.01071428571,21,4.575,20.175,3.835714286,1.714285714,0.075,11.93571429,0.03214285714,2.582142857,0.825
Census Tract 259,Hillcrest 0.5/Taylor 0.5,2,,205,4261,797,4043,1035,436,20,2099,19,434,218,0.009622154424,41,7.668857076,38.90237034,9.958929829,4.195259329,0.1924430885,20.19690214,0.1828209341,4.17601502,2.097629664
Census Tract 260.01,Cleveland 0.5/Longfellow 0.5,2,,303,5863,2814,5557,1726,119,45,2190,21,1456,306,0.01033600546,60.6,29.08551936,57.43718233,17.83994542,1.229984649,0.4651202456,22.63585195,0.2170561146,15.04922395,3.16281767
Census Tract 260.02,Hillcrest,2,,158,3544,1187,3376,1409,143,18,1196,19,591,168,0.008916478555,31.6,10.58386005,30.1020316,12.56331828,1.275056433,0.160496614,10.66410835,0.1694130926,5.269638826,1.497968397
Census Tract 260.03,Cleveland,2,,250,4908,1910,4670,1430,131,77,2117,24,891,238,0.01018744906,50,19.45802771,47.57538712,14.56805216,1.334555827,0.7844335778,21.56682967,0.2444987775,9.077017115,2.424612877
Census Tract 260.04,Cleveland,2,,216,4315,1621,4114,1142,52,42,1990,18,870,201,0.01001158749,43.2,16.22878331,41.18767092,11.43323291,0.5206025492,0.4204866744,19.9230591,0.1802085747,8.710081112,2.012329085
Census Tract 261,Longfellow 0.5/Monroe 0.5,2,,309,6810,1808,6558,1258,108,40,4031,15,1106,252,0.009074889868,61.8,16.40740088,59.51312775,11.41621145,0.9800881057,0.3629955947,36.58088106,0.136123348,10.03682819,2.286872247
Census Tract 262,Longfellow,2,,375,7564,2117,7270,1426,193,37,4480,28,1106,294,0.009915388683,75,20.99087784,72.08487573,14.13934426,1.913670016,0.3668693813,44.4209413,0.2776308831,10.96641988,2.915124273
Census Tract 263.01,Guadalupe  0.8/Cleveland 0.2,2,,218,4875,1369,4689,977,45,16,2972,2,677,186,0.008943589744,43.6,12.24377436,41.93649231,8.737887179,0.4024615385,0.1430974359,26.58034872,0.01788717949,6.054810256,1.663507692
Census Tract 263.02,Guadalupe,2,,236,4992,1260,4735,1169,223,17,2697,36,593,257,0.009455128205,47.2,11.91346154,44.77003205,11.05304487,2.10849359,0.1607371795,25.50048077,0.3403846154,5.606891026,2.429967949
Census Tract 263.03,Guadalupe,2,,230,4551,1227,4397,965,81,12,2637,17,685,154,0.01010766864,46,12.40210943,44.44341903,9.753900242,0.8187211602,0.1212920237,26.65392221,0.171830367,6.923753021,1.556580971
Census Tract 264.01,El Dorado 0.5/Visitacion Valley 0.5,2,,219,4044,796,3929,337,421,17,2558,53,543,115,0.01083086053,43.8,8.621364985,42.55445104,3.65,4.559792285,0.1841246291,27.70534125,0.5740356083,5.88115727,1.245548961
Census Tract 264.02,El Dorado,2,,234,4118,875,3964,681,431,22,2321,31,478,154,0.01136474017,46.8,9.944147644,45.04983001,7.739388052,4.898203011,0.2500242836,26.37756192,0.3523069451,5.432345799,1.750169985
Census Tract 264.03,El Dorado,2,,232,4140,671,3993,456,206,22,2909,37,363,147,0.01120772947,46.4,7.520386473,44.75246377,5.110724638,2.308792271,0.2465700483,32.60328502,0.4146859903,4.068405797,1.647536232
Census Tract 264.04,Visitacion Valley,1,1,172,2851,830,2667,295,527,23,1255,96,471,184,0.01206594177,34.4,10.01473167,32.17986671,3.559452824,6.358751315,0.2775166608,15.14275693,1.15833041,5.683058576,2.220133287
Census Tract 301.01,Clarendon 0.8/Grattan 0.2,2,,110,4233,331,4001,2856,91,17,947,4,86,232,0.005197259627,22,1.720292936,20.79423577,14.84337349,0.472950626,0.08835341365,4.921804867,0.02078903851,0.4469643279,1.205764233
Census Tract 301.02,Clarendon,2,,201,4838,305,4624,3252,98,8,1168,11,87,214,0.008309218685,40.2,2.534311699,38.4218272,27.02157916,0.8143034312,0.06647374948,9.705167425,0.09140140554,0.7229020256,1.778172799
Census Tract 302.01,Jefferson,2,,124,3928,288,3741,2221,46,12,1362,2,98,187,0.006313645621,24.8,1.818329939,23.61934827,14.02260692,0.2904276986,0.07576374745,8.599185336,0.01262729124,0.6187372709,1.180651731
Census Tract 302.02,Jefferson,2,,108,4313,342,4096,2516,83,10,1356,5,126,217,0.005008115001,21.6,1.71277533,20.51323904,12.60041734,0.4156735451,0.05008115001,6.791003942,0.02504057501,0.6310224901,1.086760955
Census Tract 303.01,Clarendon,2,,222,5658,394,5356,2878,83,12,2249,6,128,302,0.007847295864,44.4,3.091834571,42.03011665,22.5845175,0.6513255567,0.09416755037,17.6485684,0.04708377519,1.004453871,2.369883351
Census Tract 303.02,Clarendon,2,,175,3549,226,3373,1663,22,7,1610,2,69,176,0.009861932939,35,2.228796844,33.2642998,16.40039448,0.2169625247,0.06903353057,15.87771203,0.01972386588,0.6804733728,1.735700197
Census Tract 304,West Portal,2,,228,5106,277,4852,2679,50,6,2057,6,54,254,0.0089306698,45.6,2.473795535,43.33160987,23.92526439,0.44653349,0.0535840188,18.37038778,0.0535840188,0.4822561692,2.268390129
Census Tract 305,Clarendon,2,,101,3046,313,2912,1767,337,15,705,14,74,134,0.006631648063,20.2,2.075705844,19.31135916,11.71812213,2.234865397,0.09947472095,4.675311884,0.09284307288,0.4907419567,0.8886408404
Census Tract 306,West Portal,2,,145,2221,176,2102,1453,39,3,559,2,46,119,0.01305718145,29,2.298063935,27.44619541,18.97208465,0.5092300765,0.03917154435,7.29896443,0.0261143629,0.6006303467,1.553804593
Census Tract 307,Miraloma 0.5/Glen Park 0.5,2,,321,6343,606,5955,3985,194,9,1601,1,165,388,0.01012139366,64.2,6.133564559,60.27289926,40.33375374,1.96355037,0.09109254296,16.20435125,0.01012139366,1.670029954,3.927100741
Census Tract 308,West Portal,2,,308,5667,367,5411,3458,84,8,1760,9,92,256,0.01086994883,61.6,3.989271219,58.8172931,37.58828304,0.9130757014,0.08695959061,19.13110993,0.09782953944,1.000035292,2.7827069
Census Tract 309,Sloat,2,,372,6581,479,6319,3590,267,23,2318,8,113,262,0.01130527275,74.4,5.41522565,71.43801854,40.58592919,3.018507826,0.2600212734,26.20562225,0.09044218204,1.277495821,2.961981462
Census Tract 310,Miraloma 0.8/Sunnyside 0.2,2,,189,3494,371,3337,1982,103,12,1154,3,83,157,0.01081854608,37.8,4.013680595,36.10148827,21.44235833,1.114310246,0.1298225529,12.48460218,0.03245563824,0.8979393246,1.698511734
Census Tract 311,Glen Park 0.5/Sunnyside 0.5,2,,247,6193,1112,5783,3258,192,28,1957,29,319,410,0.007976747941,49.4,8.870143711,46.12953334,25.98824479,1.531535605,0.2233489424,15.61049572,0.2313256903,2.544582593,3.270466656
Census Tract 312.01,Sunnyside,2,,275,6167,977,5944,1159,538,27,3672,35,513,223,0.008918436841,55,8.713312794,53.01118858,10.3364683,4.798119021,0.2407977947,32.74850008,0.3121452894,4.5751581,1.988811416
Census Tract 312.02,Sheridan/Sunnyside,2,,138,3137,541,3035,515,377,12,1837,4,290,102,0.008798214855,27.6,4.759834237,26.70258208,4.53108065,3.316927,0.1055785783,16.16232069,0.03519285942,2.551482308,0.8974179152
Census Tract 313.01,Sheridan 0.5/Ortega 0.5,2,,168,3826,286,3653,961,696,8,1863,8,117,173,0.008782017773,33.6,2.511657083,32.08071093,8.43951908,6.11228437,0.07025614219,16.36089911,0.07025614219,1.027496079,1.519289075
Census Tract 313.02,Ortega,2,,233,5495,704,5252,969,843,27,2970,31,412,243,0.008480436761,46.6,5.97022748,44.53925387,8.217543221,7.149008189,0.2289717925,25.18689718,0.2628935396,3.493939945,2.060746133
Census Tract 314,Sheridan,2,,276,6676,1718,6355,1274,1030,25,3092,51,883,321,0.008268424206,55.2,14.20515279,52.54583583,10.53397244,8.516476932,0.2067106052,25.56596765,0.4216896345,7.301018574,2.65416417
Census Tract 326.01,Stevenson,2,,148,4416,293,4204,1710,70,9,2305,4,106,212,0.006702898551,29.6,1.963949275,28.17898551,11.46195652,0.4692028986,0.06032608696,15.45018116,0.0268115942,0.7105072464,1.421014493
Census Tract 326.02,Stevenson,2,,139,4316,178,4133,1507,50,5,2516,7,48,183,0.006441149212,27.8,1.14652456,26.62126969,9.706811863,0.3220574606,0.03220574606,16.20593142,0.04508804449,0.3091751622,1.178730306
Census Tract 327,Stevenson,2,,278,6572,338,6316,2434,68,9,3674,13,118,256,0.008460133901,55.6,2.859525259,53.43420572,20.59196592,0.5752891053,0.07614120511,31.08253195,0.1099817407,0.9982958004,2.165794279
Census Tract 328.01,Feinstein,2,,153,4238,248,4113,1415,39,3,2568,3,85,125,0.007220386975,30.6,1.79065597,29.69745163,10.21684757,0.281595092,0.02166116092,18.54195375,0.02166116092,0.6137328929,0.9025483719
Census Tract 328.02,Jefferson 0.5/Stevenson 0.5,2,,158,4047,156,3942,1228,36,4,2603,4,67,105,0.007808253027,31.6,1.218087472,30.78013343,9.588534717,0.281097109,0.03123301211,20.32488263,0.03123301211,0.5231529528,0.8198665678
Census Tract 329.01,Feinstein 0.5/Stevenson 0.5,2,,201,5021,250,4871,1590,48,16,3142,5,70,150,0.008006373232,40.2,2.001593308,38.99904402,12.73013344,0.3843059152,0.1281019717,25.1560247,0.04003186616,0.5604461263,1.200955985
Census Tract 329.02,Feinstein,2,,153,3831,186,3736,1055,38,5,2582,3,53,95,0.007987470634,30.6,1.485669538,29.84119029,8.426781519,0.3035238841,0.03993735317,20.62364918,0.0239624119,0.4233359436,0.7588097103
Census Tract 330,Feinstein,2,,367,7764,505,7492,3118,81,7,4110,11,165,272,0.009453889748,73.4,4.774214323,70.82854199,29.47722823,0.7657650696,0.06617722823,38.85548686,0.1039927872,1.559891808,2.571458011
Census Tract 331,Lakeshore,2,,225,3968,217,3832,1610,19,3,2127,14,59,136,0.01134072581,45,2.4609375,43.45766129,18.25856855,0.2154737903,0.03402217742,24.12172379,0.1587701613,0.6691028226,1.54233871
Census Tract 332.01,Lakeshore,2,,25,3683,658,3406,2008,289,13,834,13,249,277,0.001357588922,5,0.8932935107,4.623947869,2.726038556,0.3923431985,0.01764865599,1.132229161,0.01764865599,0.3380396416,0.3760521314
Census Tract 332.03,Lakeshore,2,,95,3472,494,3209,1753,233,17,1002,6,198,263,0.00547235023,19,2.703341014,17.56077189,9.593029954,1.275057604,0.09302995392,5.483294931,0.03283410138,1.083525346,1.439228111
Census Tract 332.04,Lakeshore,2,,68,3821,608,3590,1709,250,34,1286,13,298,231,0.003559277676,13.6,2.164040827,12.77780686,6.082805548,0.889819419,0.121015441,4.577231091,0.04627060979,1.060664747,0.8221931432
Census Tract 351,Key 0.8/Sunset 0.2,2,,329,7842,428,7589,2698,90,7,4687,10,97,253,0.008390716654,65.8,3.591226728,63.67714869,22.63815353,0.7551644989,0.05873501658,39.32728896,0.08390716654,0.8138995154,2.122851313
Census Tract 352.01,Key 0.8/Sunset 0.2,2,,214,5300,289,5058,1886,148,16,2908,12,88,242,0.008075471698,42.8,2.333811321,40.84573585,15.23033962,1.195169811,0.1292075472,23.4834717,0.09690566038,0.7106415094,1.954264151
Census Tract 352.02,Key,2,,139,4322,380,4149,2066,80,24,1827,19,133,173,0.006432207311,27.8,2.444238778,26.68722814,13.28894031,0.5145765849,0.1543729755,11.75164276,0.1222119389,0.8554835724,1.112771865
Census Tract 353,Ulloa 0.8/Sunset 0.2,2,,325,7226,408,6966,2141,55,13,4625,17,115,260,0.008995294769,65,3.670080266,62.66122336,19.2589261,0.4947412123,0.116938832,41.60323831,0.1529200111,1.034458898,2.33877664
Census Tract 354,Ulloa 0.8/Sunset 0.2,2,,260,6691,495,6396,2385,106,32,3732,12,129,295,0.007771633538,52,3.846958601,49.70736811,18.53534599,0.823793155,0.2486922732,29.00373636,0.09325960245,1.002540726,2.292631894
Census Tract 401,Sutro 0.5/Peabody 0.5,2,,129,4088,324,3915,2290,73,5,1425,5,117,173,0.006311154599,25.8,2.04481409,24.70817025,14.45254403,0.4607142857,0.03155577299,8.993395303,0.03155577299,0.7384050881,1.091829746
Census Tract 402,Sutro 0.5/Peabody 0.5,2,,222,5191,391,4945,2711,42,18,1995,11,168,246,0.008553265267,44.4,3.344326719,42.29589674,23.18790214,0.3592371412,0.1539587748,17.06376421,0.09408591793,1.436948565,2.104103256
Census Tract 426.01,Alamo,2,,157,3687,279,3508,1867,47,16,1463,2,113,179,0.008516409005,31.4,2.376078112,29.87556279,15.90013561,0.4002712232,0.1362625441,12.45950637,0.01703281801,0.9623542175,1.524437212
Census Tract 426.02,Alamo,2,,172,3243,183,3075,1850,41,9,1116,1,58,168,0.01060746223,34.4,1.941165587,32.61794635,19.62380512,0.4349059513,0.09546716004,11.83792784,0.01060746223,0.6152328091,1.782053654
Census Tract 427,Alamo,2,,194,5326,344,5094,2494,83,25,2371,4,117,232,0.007285016898,38.8,2.506045813,37.10987608,18.16883214,0.6046564026,0.1821254225,17.27277507,0.02914006759,0.8523469771,1.69012392
Census Tract 428,Alamo,2,,162,2376,79,2284,1775,19,3,471,1,15,92,0.01363636364,32.4,1.077272727,31.14545455,24.20454545,0.2590909091,0.04090909091,6.422727273,0.01363636364,0.2045454545,1.254545455
Census Tract 451,McCoppin,2,,151,4996,336,4753,2152,103,16,2336,12,134,243,0.006044835869,30.2,2.031064852,28.73110488,13.00848679,0.6226180945,0.0967173739,14.12073659,0.07253803042,0.8100080064,1.468895116
Census Tract 452,McCoppin,2,,269,6474,398,6163,2984,96,30,2900,12,141,311,0.008310163732,53.8,3.307445165,51.21553908,24.79752858,0.7977757183,0.249304912,24.09947482,0.09972196478,1.171733086,2.584460921
Census Tract 476,Argonne,2,,217,5137,314,4891,2208,77,11,2496,6,93,246,0.008448510804,43.4,2.652832392,41.32166634,18.65431186,0.6505353319,0.09293361884,21.08748297,0.05069106482,0.7857115048,2.078333658
Census Tract 477.01,Argonne,2,,142,4334,295,4137,1738,84,16,2185,3,111,197,0.006552838025,28.4,1.933087217,27.10909091,11.38883249,0.5504383941,0.1048454084,14.31795108,0.01965851407,0.7273650208,1.290909091
Census Tract 477.02,Argonne,2,,148,3824,185,3660,1552,69,10,1970,3,56,164,0.007740585774,29.6,1.432008368,28.33054393,12.01338912,0.5341004184,0.07740585774,15.24895397,0.02322175732,0.4334728033,1.269456067
Census Tract 478.01,Argonne 0.2/Lafayette 0.8,2,,146,4005,223,3849,1530,46,3,2189,3,78,156,0.007290886392,29.2,1.625867665,28.06262172,11.15505618,0.335380774,0.02187265918,15.95975031,0.02187265918,0.5686891386,1.137378277
Census Tract 478.02,Lafayette,2,,146,3656,216,3488,1489,61,8,1848,16,66,168,0.007986870897,29.2,1.725164114,27.85820569,11.89245077,0.4871991247,0.06389496718,14.75973742,0.1277899344,0.5271334792,1.341794311
Census Tract 479.01,Lafayette,2,,212,6400,375,6101,2897,156,20,2929,9,90,299,0.006625,42.4,2.484375,40.419125,19.192625,1.0335,0.1325,19.404625,0.059625,0.59625,1.980875
Census Tract 479.02,Lafayette,2,,132,3536,237,3370,1677,47,8,1566,2,70,166,0.007466063348,26.4,1.769457014,25.16063348,12.52058824,0.3509049774,0.05972850679,11.6918552,0.0149321267,0.5226244344,1.239366516
Census Tract 601,Alamo,2,,244,3235,250,3019,2589,69,12,256,21,72,216,0.01508500773,48.8,3.771251932,45.54163833,39.05508501,1.040865533,0.1810200927,3.861761978,0.3167851623,1.086120556,3.258361669
Census Tract 604,Lakeshore 0.5/Ulloa 0.5,2,,37,1689,177,1598,1025,73,5,415,6,74,91,0.004381290705,7.4,0.7754884547,7.001302546,4.490822972,0.3198342214,0.02190645352,1.818235642,0.02628774423,0.3242155121,0.3986974541
Census Tract 605.02,Visitacion Valley,1,1,321,3216,838,3012,334,988,17,925,271,477,204,0.01996268657,64.2,16.72873134,60.12761194,6.667537313,19.72313433,0.3393656716,18.46548507,5.40988806,9.522201493,4.07238806
Census Tract 607,Webster,2,,170,9083,754,8661,4450,352,37,3541,7,274,422,0.003743256633,34,2.822415501,32.4203457,16.65749202,1.317626335,0.1385004954,13.25487174,0.02620279643,1.025652318,1.579654299
Census Tract 609,Webster,2,,134,3610,595,3412,547,481,28,1996,15,345,198,0.007423822715,26.8,4.417174515,25.3300831,4.060831025,3.570858726,0.207867036,14.81795014,0.1113573407,2.561218837,1.469916898
Census Tract 610,Harte,2,,175,4307,91,4255,244,108,2,3870,3,28,52,0.008126306013,35,0.7394938472,34.57743209,1.982818667,0.8776410495,0.01625261203,31.44880427,0.02437891804,0.2275365684,0.4225679127
Census Tract 611,Chin 0.5/Parker 0.5,2,,137,4089,1502,3913,795,1317,33,882,18,868,176,0.006700904867,27.4,10.06475911,26.22064074,5.327219369,8.825091709,0.2211298606,5.910198092,0.1206162876,5.816385424,1.179359257
Census Tract 612,Drew,2,,236,5395,912,5085,2844,924,34,730,132,421,310,0.00874884152,47.2,7.978943466,44.48785913,24.88170528,8.083929564,0.2974606117,6.38665431,1.154847081,3.68326228,2.712140871
Census Tract 614,King/Webster,2,,328,5395,743,11022,6731,443,39,3545,26,238,480,0.01215940686,65.6,9.034439296,134.0209824,81.84496756,5.386617238,0.4742168675,43.10509731,0.3161445783,2.893938832,5.836515292
Census Tract 615.00,Webster,2,,110,11502,25,311,236,36,2,30,3,4,9,0.001912710833,22,0.04781777082,0.594853069,0.4513997566,0.06885758998,0.003825421666,0.05738132499,0.005738132499,0.007650843332,0.0172143975
Census Tract 9802,Lafayette,2,,7,320,19,165,142,12,1,5,1,4,6,0.004375,1.4,0.083125,0.721875,0.62125,0.0525,0.004375,0.021875,0.004375,0.0175,0.02625
Census Tract 9805.01,Visitacion Valley 0.5/Hillcrest 0.5,2,,31,797,60,442,69,266,6,84,1,16,25,0.007779171895,6.2,0.4667503137,3.438393977,0.5367628607,2.069259724,0.04667503137,0.6534504391,0.007779171895,0.1244667503,0.1944792974
Census Tract 9806,Carver,2,,32,350,81,333,215,38,1,30,2,47,17,0.01828571429,6.4,1.481142857,6.089142857,3.931428571,0.6948571429,0.01828571429,0.5485714286,0.03657142857,0.8594285714,0.3108571429